"First Name","Last Name","Nickname","Record","Wins","Losses","Draws","Height","Weight","Reach","Stance","SLpM","Str. Acc","SApM","Str. Def","TD Avg","TD Acc","TD Def","Sub. Avg","URL"
"Luciano","Azevedo",NA,"16-9-1",16,9,1,75,161,NA,"Orthodox",0.76,0.45,1.97,0.27,2.28,0.11,0,0,"http://fightmetric.com/fighter-details/9bcfb40dbcd50568"
"Luiz","Azeredo",NA,"15-10-0",15,10,0,69,154,NA,"Orthodox",2.16,0.39,2.76,0.57,1.07,0.5,0.45,0.3,"http://fightmetric.com/fighter-details/063649e21bc9d6d5"
"Jessin","Ayari","Abacus","16-3-0",16,3,0,72,170,73,"Orthodox",4.67,0.4,3.13,0.65,0,0,0,0,"http://fightmetric.com/fighter-details/6eaec40f724852f4"
"Javy","Ayala","Eye Candy","8-5-0",8,5,0,73,265,NA,NA,0.83,0.25,5,0.33,0,0,0,0,"http://fightmetric.com/fighter-details/26387c19f32dda0f"
"Saad","Awad","Assassin","9-5-0",9,5,0,71,155,NA,NA,2.13,0.26,1.87,0.6,0.5,0.16,1,0.5,"http://fightmetric.com/fighter-details/da603332ad41f165"
"Chris","Avila",NA,"5-4-0",5,4,0,70,145,72,"Orthodox",2.37,0.3,4.17,0.48,0,0,0.46,0,"http://fightmetric.com/fighter-details/4665cbf36b08193b"
"Anthony","Avila",NA,"6-1-0",6,1,0,67,145,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/033d19259f589457"
"Levi","Avera",NA,"16-10-0",16,10,0,73,170,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/ba5c6eeb8ef45f5c"
"Blas","Avena","The Disciple","7-6-0",7,6,0,72,170,74,"Orthodox",2.34,0.47,3.36,0.43,2.37,0.8,0.5,1.8,"http://fightmetric.com/fighter-details/8753e125f4499816"
"David","Avellan",NA,"2-1-0",2,1,0,69,185,NA,"Orthodox",3.33,0.25,10,0.57,0,0,0,0,"http://fightmetric.com/fighter-details/956dcac65e7b34d6"
"Marcus","Aurelio","Maximus","21-10-0",21,10,0,70,155,74,"Orthodox",1.42,0.33,2.27,0.59,1.69,0.27,0.27,1.3,"http://fightmetric.com/fighter-details/04643fd03d9159cc"
"Pat","Audinwood","Awesomely Awesome","9-2-1",9,2,1,72,155,NA,"Orthodox",1.17,0.12,4.31,0.41,0.8,0.5,0,0,"http://fightmetric.com/fighter-details/196ed28337adc630"
"Olivier","Aubin-Mercier","The Quebec Kid","10-2-0",10,2,0,69,155,70,"Southpaw",2.91,0.53,2.96,0.57,2.99,0.32,0.83,0.7,"http://fightmetric.com/fighter-details/55ee431411ccf07a"
"Rich","Attonito","The Raging Bull","10-5-0",10,5,0,70,170,72,"Orthodox",2.28,0.47,2.13,0.59,0.74,0.37,0.75,0,"http://fightmetric.com/fighter-details/210935fd21670f6d"
"Bazigit","Atajev","Volk","17-1-0",17,1,0,73,230,NA,"Orthodox",0.87,0.41,3.14,0.49,1,0.33,0,0,"http://fightmetric.com/fighter-details/fd7acf42bd6e7e95"
"Raphael","Assuncao",NA,"24-5-0",24,5,0,65,135,66,"Orthodox",3.37,0.42,2.2,0.69,1.55,0.34,0.78,0.4,"http://fightmetric.com/fighter-details/2f13e4020cea5b38"
"Junior","Assuncao",NA,"13-4-0",13,4,0,69,145,72,"Orthodox",3.31,0.62,2.06,0.44,2.43,0.24,0.66,0.7,"http://fightmetric.com/fighter-details/d0d7160824278840"
"Scott","Askham",NA,"14-4-0",14,4,0,75,185,75,"Southpaw",3.03,0.46,3.52,0.52,0.44,0.18,0.65,0.7,"http://fightmetric.com/fighter-details/06827d70c53ff0d9"
"Cyril","Asker","Silverback","8-2-0",8,2,0,72,247,74,"Orthodox",5.91,0.37,5.91,0.27,2.77,0.25,1,0,"http://fightmetric.com/fighter-details/9be6020024133293"
"Cesar","Arzamendia","Goku","7-4-0",7,4,0,71,155,71,NA,5.37,0.45,5.2,0.56,7.32,0.75,0,2.4,"http://fightmetric.com/fighter-details/49f78022126bf4a4"
"Veta","Arteaga",NA,"3-1-0",3,1,0,67,125,NA,NA,3.2,0.36,1.92,0.65,0,0,0.4,0,"http://fightmetric.com/fighter-details/91e3388e69060e69"
"Gilles","Arsene",NA,"1-1-0",1,1,0,69,190,NA,"Southpaw",0.06,0.1,2.45,0.32,0,0,0,0,"http://fightmetric.com/fighter-details/2dea80c069847321"
"Matt","Arroyo","No Regard","3-3-0",3,3,0,70,170,72,"Orthodox",1.62,0.47,2.01,0.58,2.12,0.36,1,5.3,"http://fightmetric.com/fighter-details/de62052b2ede65ba"
"Akbarh","Arreola","El Caballero","23-10-1",23,10,1,70,155,71,"Southpaw",2.32,0.45,4.01,0.56,1.07,1,0.33,0.4,"http://fightmetric.com/fighter-details/c136b2a8852da5bd"
"Chalid","Arrab","Die Faust","7-3-0",7,3,0,71,205,NA,"Orthodox",1.56,0.34,1.63,0.56,3.05,0.75,0.37,1,"http://fightmetric.com/fighter-details/770b9d4813c25902"
"Ricardo","Arona","The Brazilian Tiger","14-5-0",14,5,0,71,205,NA,"Orthodox",1.66,0.48,1.15,0.57,2.41,0.48,0.58,1.2,"http://fightmetric.com/fighter-details/05fbfe628658c538"
"Joey","Armstrong",NA,"5-2-0",5,2,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/30ad2050273d016a"
"Andrei","Arlovski","The Pitbull","25-14-0",25,14,0,75,240,77,"Orthodox",3.12,0.41,2.5,0.59,0.39,0.41,0.82,0.5,"http://fightmetric.com/fighter-details/3738e68d2261e60f"
"Tristan","Arenal",NA,"4-1-0",4,1,0,NA,155,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/9c9455912d917e4e"
"Art","Arciniega","King Arthur","14-6-0",14,6,0,68,145,NA,NA,1.53,0.46,2.73,0.51,0,0,0.5,1,"http://fightmetric.com/fighter-details/d25e39e74efb0a77"
"Igor","Araujo",NA,"25-8-0",25,8,0,73,170,77,"Orthodox",1.52,0.42,2.86,0.49,0.86,0.15,0.22,0.6,"http://fightmetric.com/fighter-details/dbea8c1cb327ab3d"
"Felipe","Arantes","Sertanejo","18-8-1",18,8,1,68,135,73,"Orthodox",2.43,0.49,2.33,0.63,1.13,0.56,0.42,0.9,"http://fightmetric.com/fighter-details/71002dbc1743b9a7"
"Romie","Aram",NA,"7-1-0",7,1,0,70,170,NA,"Orthodox",1.8,0.35,2.83,0.5,2.5,0.62,0.83,0,"http://fightmetric.com/fighter-details/73ef22f25d0f70e2"
"Kenji","Arai",NA,"15-15-5",15,15,5,70,145,NA,"Southpaw",8.79,0.27,10.29,0.39,0,0,0,0,"http://fightmetric.com/fighter-details/269d103c96a4c3a5"
"Erik","Apple",NA,"10-3-0",10,3,0,72,170,NA,"Orthodox",0,0,0.54,0.81,0,0,0,8.1,"http://fightmetric.com/fighter-details/1ccff7f0cfdf85eb"
"Shinya","Aoki","Tobikan Judan","30-5-0",30,5,0,71,154,NA,"Southpaw",0.97,0.58,1.25,0.58,2.54,0.41,0.6,4,"http://fightmetric.com/fighter-details/79ded75550efc139"
"Shinsho","Anzai","Animal","9-2-0",9,2,0,67,170,70,"Orthodox",3.58,0.65,4.12,0.44,2.99,0.25,1,0,"http://fightmetric.com/fighter-details/4665f9f909cd7214"
"Angelo","Antonio",NA,"0-3-0",0,3,0,NA,205,NA,"Orthodox",1.09,0.5,7.64,0.5,0,0,0,0,"http://fightmetric.com/fighter-details/dbd198f780286aca"
"Adam","Antolin",NA,"3-3-0",3,3,0,65,135,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/25b31165758402dd"
"Gadzhimurad","Antigulov",NA,"19-4-0",19,4,0,71,205,70,"Orthodox",0,0,1.79,0.66,13.43,1,0,13.4,"http://fightmetric.com/fighter-details/af997f7611673880"
"Nina","Ansaroff","The Strina","7-5-0",7,5,0,65,115,64,"Orthodox",3.73,0.5,2.61,0.53,0.69,0.5,0.73,1.4,"http://fightmetric.com/fighter-details/d343df8ba11f4c4e"
"Yoji","Anjo","Mr. 200%","0-5-1",0,5,1,71,205,NA,"Orthodox",0,0,3.13,0.25,0,0,0,0,"http://fightmetric.com/fighter-details/e06fd1260ac865a7"
"Reese","Andy","Riptide","7-3-0",7,3,0,72,205,NA,"Orthodox",2.87,0.5,3.5,0.58,0.67,0.2,0.4,0,"http://fightmetric.com/fighter-details/46e2ca71fd5089cb"
"Dylan","Andrews","The Villain","18-8-0",18,8,0,73,185,73,"Switch",2.21,0.5,2.72,0.46,2.83,0.5,0.57,0.4,"http://fightmetric.com/fighter-details/00debc804e2b1cd4"
"Jermaine","Andre",NA,"14-4-0",14,4,0,67,200,NA,"Orthodox",0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/9bad58fa651d6196"
"Viscardi","Andrade",NA,"19-7-0",19,7,0,71,170,75,"Orthodox",3.26,0.42,2.77,0.63,1.93,0.5,0.66,0.3,"http://fightmetric.com/fighter-details/d221ee27afc7a60e"
"Jessica","Andrade","Bate Estaca","16-5-0",16,5,0,61,115,62,"Orthodox",6.8,0.52,4.29,0.56,2.6,0.62,0.74,0.8,"http://fightmetric.com/fighter-details/6a1901c62ab3870f"
"Alex","Andrade","El Toro","10-5-0",10,5,0,71,200,NA,"Orthodox",0.2,0.36,2.6,0.53,0,0,0.25,0.8,"http://fightmetric.com/fighter-details/1562b12763cc8d67"
"Derek","Anderson","Barbaric","13-2-0",13,2,0,72,155,NA,NA,3.97,0.37,3.08,0.61,0.34,0.14,0.6,0,"http://fightmetric.com/fighter-details/19ba965651486013"
"Corey","Anderson","Overtime","10-3-0",10,3,0,75,205,79,NA,5.01,0.45,2.38,0.58,4.31,0.5,0.33,0,"http://fightmetric.com/fighter-details/5e4eec08896c9423"
"Lowell","Anderson",NA,"0-1-0",0,1,0,66,160,NA,"Orthodox",0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/1ffc38f67785797b"
"Andy","Anderson","The Hammer","0-1-0",0,1,0,66,240,NA,NA,0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/9199e0735b83dd32"
"Matt","Andersen",NA,"14-8-1",14,8,1,74,230,NA,"Southpaw",0,0,0,0,0,0,0,0,"http://fightmetric.com/fighter-details/8738eacd62e82a32"
"Karl","Amoussou","The Psycho","12-4-2",12,4,2,71,185,NA,"Orthodox",1.47,0.34,2.67,0.54,0,0,0.25,1,"http://fightmetric.com/fighter-details/23a8c33869bf5392"
"Bertrand","Amoussou",NA,"1-1-0",1,1,0,68,190,NA,"Orthodox",6.75,0.39,2.01,0.83,0,0,0,0,"http://fightmetric.com/fighter-details/53adf5b845d91e4a"
"Makwan","Amirkhani","Mr. Finland","13-3-0",13,3,0,70,145,72,"Southpaw",1.73,0.53,1.45,0.53,4.24,0.45,0.5,2.4,"http://fightmetric.com/fighter-details/87a1dc546b1c5caf"
"JJ","Ambrose",NA,"17-3-0",17,3,0,70,170,NA,"Orthodox",3.16,0.69,6.32,0.33,0,0,0.5,0,"http://fightmetric.com/fighter-details/d562b12b8fe88336"
"Jimmy","Ambriz","The Titan","15-18-1",15,18,1,74,315,NA,"Southpaw",0.83,0.29,3.76,0.4,3.13,0.57,1,0.8,"http://fightmetric.com/fighter-details/c912f676692c353a"
