scenario_id,scenario_name,country,year,expenditure_reduction_pct,mechanism,bunching_risk,source_doc
SC-AT-2025,Austria 2025 baseline carbon-electricity expenditure reduction,Austria,2025,8.5,settlement_deduction,low,2603.25874v1.pdf
SC-DE-2025,Germany 2025 baseline carbon-electricity expenditure reduction,Germany,2025,4.7,settlement_deduction,low,2603.25874v1.pdf
SC-HARD-THRESHOLD,Hard price threshold activation rule,EU,2025,0.0,hard_threshold,high,2603.25874v1.pdf
SC-LINEAR-RAMP,Linear phase-in ramp of the deduction,EU,2025,0.0,linear_ramp,low,2603.25874v1.pdf
SC-SETTLEMENT,Proposed settlement deduction rule for carbon-cost pass-through,EU,2025,0.0,settlement_deduction,low,2603.25874v1.pdf
SC-SYN-0001,Synthetic electricity-carbon scenario 0001 (Germany 2021),Germany,2021,0.0,hard_threshold,medium,2603.25874v1.pdf
SC-SYN-0002,Synthetic electricity-carbon scenario 0002 (France 2022),France,2022,0.0,linear_ramp,high,2603.25874v1.pdf
SC-SYN-0003,Synthetic electricity-carbon scenario 0003 (Spain 2023),Spain,2023,3.43,capacity_market_offset,low,2603.25874v1.pdf
SC-SYN-0004,Synthetic electricity-carbon scenario 0004 (Italy 2024),Italy,2024,7.56,green_certificate,medium,2603.25874v1.pdf
SC-SYN-0005,Synthetic electricity-carbon scenario 0005 (Poland 2025),Poland,2025,10.47,settlement_deduction,high,2603.25874v1.pdf
SC-SYN-0006,Synthetic electricity-carbon scenario 0006 (EU 2026),EU,2026,0.0,hard_threshold,low,2603.25874v1.pdf
SC-SYN-0007,Synthetic electricity-carbon scenario 0007 (Netherlands 2027),Netherlands,2027,0.0,linear_ramp,medium,2603.25874v1.pdf
SC-SYN-0008,Synthetic electricity-carbon scenario 0008 (Belgium 2028),Belgium,2028,11.5,capacity_market_offset,high,2603.25874v1.pdf
SC-SYN-0009,Synthetic electricity-carbon scenario 0009 (Austria 2029),Austria,2029,9.3,green_certificate,low,2603.25874v1.pdf
SC-SYN-0010,Synthetic electricity-carbon scenario 0010 (Germany 2020),Germany,2020,8.32,settlement_deduction,medium,2603.25874v1.pdf
SC-SYN-0011,Synthetic electricity-carbon scenario 0011 (France 2021),France,2021,0.0,hard_threshold,high,2603.25874v1.pdf
SC-SYN-0012,Synthetic electricity-carbon scenario 0012 (Spain 2022),Spain,2022,0.0,linear_ramp,low,2603.25874v1.pdf
SC-SYN-0013,Synthetic electricity-carbon scenario 0013 (Italy 2023),Italy,2023,3.21,capacity_market_offset,medium,2603.25874v1.pdf
SC-SYN-0014,Synthetic electricity-carbon scenario 0014 (Poland 2024),Poland,2024,2.2,green_certificate,high,2603.25874v1.pdf
SC-SYN-0015,Synthetic electricity-carbon scenario 0015 (EU 2025),EU,2025,2.79,settlement_deduction,low,2603.25874v1.pdf
SC-SYN-0016,Synthetic electricity-carbon scenario 0016 (Netherlands 2026),Netherlands,2026,0.0,hard_threshold,medium,2603.25874v1.pdf
SC-SYN-0017,Synthetic electricity-carbon scenario 0017 (Belgium 2027),Belgium,2027,0.0,linear_ramp,high,2603.25874v1.pdf
SC-SYN-0018,Synthetic electricity-carbon scenario 0018 (Austria 2028),Austria,2028,4.85,capacity_market_offset,low,2603.25874v1.pdf
SC-SYN-0019,Synthetic electricity-carbon scenario 0019 (Germany 2029),Germany,2029,1.33,green_certificate,medium,2603.25874v1.pdf
SC-SYN-0020,Synthetic electricity-carbon scenario 0020 (France 2020),France,2020,11.87,settlement_deduction,high,2603.25874v1.pdf
SC-SYN-0021,Synthetic electricity-carbon scenario 0021 (Spain 2021),Spain,2021,0.0,hard_threshold,low,2603.25874v1.pdf
SC-SYN-0022,Synthetic electricity-carbon scenario 0022 (Italy 2022),Italy,2022,0.0,linear_ramp,medium,2603.25874v1.pdf
