exp_id,name,practice_id,site_country,season,ch4_flux_kg_ha,yield_t_ha,start_date,notes
EXP-001,residue trial,PR-SYN-0260,India,2024 dry,306.1,5.30,2025-09-13,
EXP-002,baseline,PR-SYN-0202,Philippines,2025 wet,,3.95,2024-10-02,
EXP-003,deep placement,PR-SYN-0183,Vietnam,2024 dry,,4.93,2025-05-12,
EXP-004,AWD trial,PR-CF,India,2023 dry,318.1,3.60,2023-12-11,replicated 3x
EXP-005,baseline,PR-GCTB,Netherlands,2024 wet,81.0,,2025-05-21,replicated 3x
EXP-006,AWD trial,PR-SRI,Italy,2023 dry,139.6,5.51,2025-04-20,flooded control
EXP-007,AWD trial,PR-SYN-0113,Netherlands,2025 wet,96.0,7.75,2024-08-09,irrigation schedule adjusted
EXP-008,control plot,PR-GCTB,India,2025 wet,307.4,4.24,2023-06-07,
EXP-009,AWD trial,PR-SYN-0331,India,2023 dry,136.3,3.75,2024-12-25,flooded control
EXP-010,baseline,PR-SYN-0167,Bangladesh,2023 dry,64.3,5.33,2025-02-24,
EXP-011,control plot,PR-CF,India,2023 dry,265.8,7.71,2025-06-05,
EXP-012,AWD trial,PR-AWD,Vietnam,2025 wet,187.4,7.21,2023-01-09,
EXP-013,deep placement,PR-SYN-0163,Italy,2025 wet,112.6,,2025-06-15,flooded control
EXP-014,baseline,PR-SYN-0253,Bangladesh,2023 dry,76.6,7.21,2023-10-01,flooded control
EXP-015,AWD trial,PR-SYN-0058,Bangladesh,2024 wet,195.8,5.76,2023-09-02,
EXP-016,deep placement,PR-SYN-0256,India,2023 dry,,3.49,2024-10-17,irrigation schedule adjusted
EXP-017,control plot,PR-SYN-0270,Bangladesh,2024 dry,266.1,5.61,2024-09-07,
EXP-018,baseline,PR-GCTB,Italy,2023 dry,60.3,,2025-05-26,irrigation schedule adjusted
EXP-019,AWD trial,PR-SRI,Bangladesh,2024 dry,310.9,5.03,2024-03-22,replicated 3x
EXP-020,baseline,PR-CF,India,2024 wet,94.8,3.29,2025-08-15,replicated 3x
EXP-021,AWD trial,PR-SYN-0259,Philippines,2023 dry,309.0,4.25,2023-02-09,irrigation schedule adjusted
EXP-022,control plot,PR-SYN-0213,Netherlands,2024 wet,277.9,5.07,2025-09-19,
EXP-023,AWD trial,PR-SRI,Philippines,2024 wet,,6.12,2024-02-20,
EXP-024,AWD trial,PR-SYN-0170,Philippines,2023 dry,318.4,6.06,2023-09-23,irrigation schedule adjusted
EXP-025,baseline,PR-SRI,Vietnam,2024 wet,301.0,4.15,2024-09-22,
EXP-026,baseline,PR-SYN-0015,Netherlands,2024 dry,44.3,4.07,2024-04-15,flooded control
EXP-027,baseline,PR-SYN-0198,India,2024 wet,311.7,4.26,2023-12-24,
EXP-028,residue trial,PR-SYN-0004,Italy,2025 wet,59.8,3.95,2023-11-27,irrigation schedule adjusted
EXP-029,control plot,PR-SYN-0351,Vietnam,2023 dry,122.1,5.25,2024-06-11,
EXP-030,AWD trial,PR-SYN-0155,Bangladesh,2025 wet,101.0,3.59,2024-09-21,
EXP-031,deep placement,PR-AWD,India,2023 dry,80.3,4.58,2025-04-03,replicated 3x
EXP-032,control plot,PR-GCTB,Netherlands,2024 dry,241.8,6.05,2023-01-27,replicated 3x
EXP-033,baseline,PR-AWD,Philippines,2023 wet,271.4,6.34,2025-11-08,
EXP-034,AWD trial,PR-SYN-0050,India,2024 wet,145.5,,2023-11-18,
EXP-035,control plot,PR-SYN-0032,Vietnam,2023 wet,249.5,6.23,2023-12-24,irrigation schedule adjusted
EXP-036,AWD trial,PR-SRI,Italy,2023 wet,104.6,7.09,2023-08-22,replicated 3x
EXP-037,baseline,PR-SYN-0098,Philippines,2024 dry,61.7,6.62,2024-10-19,
EXP-038,control plot,PR-SYN-0341,Italy,2023 wet,67.9,6.46,2024-08-15,replicated 3x
EXP-039,AWD trial,PR-AWD,Bangladesh,2023 wet,,6.97,2024-05-13,replicated 3x
EXP-040,AWD trial,PR-GCTB,India,2024 dry,306.8,5.54,2023-12-12,flooded control
EXP-041,SRI trial,PR-AWD,Philippines,2024 wet,306.0,6.55,2024-06-13,
EXP-042,SRI trial,PR-GCTB,Philippines,2024 dry,275.0,6.48,2025-05-09,flooded control
EXP-043,AWD trial,PR-SYN-0298,Netherlands,2023 dry,61.4,7.13,2024-02-02,
EXP-044,control plot,PR-SYN-0220,India,2023 dry,183.1,7.60,2023-11-13,
EXP-045,baseline,PR-CF,India,2024 dry,166.2,4.52,2023-09-05,irrigation schedule adjusted
EXP-046,residue trial,PR-GCTB,Philippines,2023 dry,246.9,6.22,2024-08-18,
EXP-047,AWD trial,PR-CF,Bangladesh,2023 wet,194.1,6.69,2024-03-18,
EXP-048,residue trial,PR-AWD,India,2024 dry,129.4,4.13,2023-12-28,replicated 3x
EXP-049,control plot,PR-GCTB,Netherlands,2023 dry,,7.65,2023-11-17,
EXP-050,residue trial,PR-SRI,Netherlands,2024 dry,147.7,4.64,2023-03-02,replicated 3x
