practice_id,practice_name,crop_system,ch4_reduction_min_pct,ch4_reduction_max_pct,water_saving_min_pct,water_saving_max_pct,soil_carbon_benefit,mrv_intensity,source_doc
PR-AWD,Alternate Wetting and Drying (AWD),rice,30.0,50.0,20.0,30.0,Improved aeration reduces continuous anaerobic methanogenesis,high,2603.20674v1.pdf
PR-SRI,System of Rice Intensification (SRI),rice,40.0,60.0,25.0,50.0,Soil carbon sequestration reported around 12.58 to 49.51 tCO2e/ha in survey evidence,high,2603.20674v1.pdf
PR-GCTB,Green Cane Trash Blanketing (GCTB),sugarcane,,,10.0,20.0,Retains green cane residue as a trash blanket; improves soil organic carbon and reduces burning-related emissions,medium,2603.20674v1.pdf
PR-CF,Carbon Farming,multi-crop,,,15.0,35.0,Portfolio of agricultural best practices for sequestration and emission reduction across cropland,high,2603.20674v1.pdf
PR-SYN-0001,Synthetic Mitigation Practice 0001,sugarcane,41.6,56.6,22.1,51.3,Synthetic soil-carbon note for practice 0001 under sugarcane,medium,2603.20674v1.pdf
PR-SYN-0002,Synthetic Mitigation Practice 0002,wheat,22.2,39.4,15.8,36.6,Synthetic soil-carbon note for practice 0002 under wheat,low,2603.20674v1.pdf
PR-SYN-0003,Synthetic Mitigation Practice 0003,maize,35.2,51.6,29.3,44.7,Synthetic soil-carbon note for practice 0003 under maize,high,2603.20674v1.pdf
PR-SYN-0004,Synthetic Mitigation Practice 0004,multi-crop,36.5,55.8,28.9,43.6,Synthetic soil-carbon note for practice 0004 under multi-crop,medium,2603.20674v1.pdf
PR-SYN-0005,Synthetic Mitigation Practice 0005,soy,28.2,42.8,28.8,52.0,Synthetic soil-carbon note for practice 0005 under soy,low,2603.20674v1.pdf
PR-SYN-0006,Synthetic Mitigation Practice 0006,cotton,28.9,45.6,24.8,43.6,Synthetic soil-carbon note for practice 0006 under cotton,high,2603.20674v1.pdf
PR-SYN-0007,Synthetic Mitigation Practice 0007,rice,26.8,40.1,19.6,47.7,Synthetic soil-carbon note for practice 0007 under rice,medium,2603.20674v1.pdf
PR-SYN-0008,Synthetic Mitigation Practice 0008,sugarcane,32.4,47.9,12.8,19.1,Synthetic soil-carbon note for practice 0008 under sugarcane,low,2603.20674v1.pdf
PR-SYN-0009,Synthetic Mitigation Practice 0009,wheat,7.9,28.7,20.3,42.5,Synthetic soil-carbon note for practice 0009 under wheat,high,2603.20674v1.pdf
PR-SYN-0010,Synthetic Mitigation Practice 0010,maize,38.6,49.9,15.9,26.2,Synthetic soil-carbon note for practice 0010 under maize,medium,2603.20674v1.pdf
PR-SYN-0011,Synthetic Mitigation Practice 0011,multi-crop,16.7,40.0,12.3,24.6,Synthetic soil-carbon note for practice 0011 under multi-crop,low,2603.20674v1.pdf
PR-SYN-0012,Synthetic Mitigation Practice 0012,soy,13.6,26.8,14.7,20.0,Synthetic soil-carbon note for practice 0012 under soy,high,2603.20674v1.pdf
PR-SYN-0013,Synthetic Mitigation Practice 0013,cotton,33.0,53.7,24.6,46.5,Synthetic soil-carbon note for practice 0013 under cotton,medium,2603.20674v1.pdf
PR-SYN-0014,Synthetic Mitigation Practice 0014,rice,6.8,26.2,26.9,46.7,Synthetic soil-carbon note for practice 0014 under rice,low,2603.20674v1.pdf
PR-SYN-0015,Synthetic Mitigation Practice 0015,sugarcane,35.0,40.4,16.1,39.2,Synthetic soil-carbon note for practice 0015 under sugarcane,high,2603.20674v1.pdf
PR-SYN-0016,Synthetic Mitigation Practice 0016,wheat,27.0,48.9,27.3,53.6,Synthetic soil-carbon note for practice 0016 under wheat,medium,2603.20674v1.pdf
PR-SYN-0017,Synthetic Mitigation Practice 0017,maize,,,18.1,44.7,Synthetic soil-carbon note for practice 0017 under maize,low,2603.20674v1.pdf
PR-SYN-0018,Synthetic Mitigation Practice 0018,multi-crop,20.0,36.0,8.7,31.0,Synthetic soil-carbon note for practice 0018 under multi-crop,high,2603.20674v1.pdf
PR-SYN-0019,Synthetic Mitigation Practice 0019,soy,21.5,31.7,27.5,45.6,Synthetic soil-carbon note for practice 0019 under soy,medium,2603.20674v1.pdf
PR-SYN-0020,Synthetic Mitigation Practice 0020,cotton,28.2,47.0,6.1,25.1,Synthetic soil-carbon note for practice 0020 under cotton,low,2603.20674v1.pdf
PR-SYN-0021,Synthetic Mitigation Practice 0021,rice,32.0,50.9,13.6,19.3,Synthetic soil-carbon note for practice 0021 under rice,high,2603.20674v1.pdf
PR-SYN-0022,Synthetic Mitigation Practice 0022,sugarcane,34.8,48.0,17.2,28.5,Synthetic soil-carbon note for practice 0022 under sugarcane,medium,2603.20674v1.pdf
PR-SYN-0023,Synthetic Mitigation Practice 0023,wheat,31.4,48.5,8.9,18.4,Synthetic soil-carbon note for practice 0023 under wheat,low,2603.20674v1.pdf
PR-SYN-0024,Synthetic Mitigation Practice 0024,maize,34.7,52.7,23.5,39.1,Synthetic soil-carbon note for practice 0024 under maize,high,2603.20674v1.pdf
PR-SYN-0025,Synthetic Mitigation Practice 0025,multi-crop,38.4,44.2,9.6,16.4,Synthetic soil-carbon note for practice 0025 under multi-crop,medium,2603.20674v1.pdf
PR-SYN-0026,Synthetic Mitigation Practice 0026,soy,40.6,62.4,13.4,42.4,Synthetic soil-carbon note for practice 0026 under soy,low,2603.20674v1.pdf
PR-SYN-0027,Synthetic Mitigation Practice 0027,cotton,32.5,38.5,16.1,31.7,Synthetic soil-carbon note for practice 0027 under cotton,high,2603.20674v1.pdf
PR-SYN-0028,Synthetic Mitigation Practice 0028,rice,10.4,16.1,15.8,30.3,Synthetic soil-carbon note for practice 0028 under rice,medium,2603.20674v1.pdf
PR-SYN-0029,Synthetic Mitigation Practice 0029,sugarcane,20.1,43.3,20.4,34.3,Synthetic soil-carbon note for practice 0029 under sugarcane,low,2603.20674v1.pdf
PR-SYN-0030,Synthetic Mitigation Practice 0030,wheat,40.0,56.0,10.3,33.9,Synthetic soil-carbon note for practice 0030 under wheat,high,2603.20674v1.pdf
PR-SYN-0031,Synthetic Mitigation Practice 0031,maize,33.7,43.4,13.1,42.6,Synthetic soil-carbon note for practice 0031 under maize,medium,2603.20674v1.pdf
PR-SYN-0032,Synthetic Mitigation Practice 0032,multi-crop,34.4,54.8,23.7,37.7,Synthetic soil-carbon note for practice 0032 under multi-crop,low,2603.20674v1.pdf
PR-SYN-0033,Synthetic Mitigation Practice 0033,soy,13.5,35.2,7.4,14.7,Synthetic soil-carbon note for practice 0033 under soy,high,2603.20674v1.pdf
PR-SYN-0034,Synthetic Mitigation Practice 0034,cotton,,,23.7,30.2,Synthetic soil-carbon note for practice 0034 under cotton,medium,2603.20674v1.pdf
PR-SYN-0035,Synthetic Mitigation Practice 0035,rice,41.1,59.3,7.1,29.2,Synthetic soil-carbon note for practice 0035 under rice,low,2603.20674v1.pdf
PR-SYN-0036,Synthetic Mitigation Practice 0036,sugarcane,39.9,56.4,5.6,23.0,Synthetic soil-carbon note for practice 0036 under sugarcane,high,2603.20674v1.pdf
PR-SYN-0037,Synthetic Mitigation Practice 0037,wheat,38.7,49.8,14.0,24.8,Synthetic soil-carbon note for practice 0037 under wheat,medium,2603.20674v1.pdf
PR-SYN-0038,Synthetic Mitigation Practice 0038,maize,17.2,34.6,14.3,36.5,Synthetic soil-carbon note for practice 0038 under maize,low,2603.20674v1.pdf
PR-SYN-0039,Synthetic Mitigation Practice 0039,multi-crop,20.3,37.8,9.7,38.3,Synthetic soil-carbon note for practice 0039 under multi-crop,high,2603.20674v1.pdf
PR-SYN-0040,Synthetic Mitigation Practice 0040,soy,43.9,54.0,5.4,15.5,Synthetic soil-carbon note for practice 0040 under soy,medium,2603.20674v1.pdf
PR-SYN-0041,Synthetic Mitigation Practice 0041,cotton,39.5,64.2,9.3,23.1,Synthetic soil-carbon note for practice 0041 under cotton,low,2603.20674v1.pdf
PR-SYN-0042,Synthetic Mitigation Practice 0042,rice,37.3,50.8,7.8,37.0,Synthetic soil-carbon note for practice 0042 under rice,high,2603.20674v1.pdf
PR-SYN-0043,Synthetic Mitigation Practice 0043,sugarcane,9.0,24.5,13.5,22.6,Synthetic soil-carbon note for practice 0043 under sugarcane,medium,2603.20674v1.pdf
PR-SYN-0044,Synthetic Mitigation Practice 0044,wheat,14.3,20.5,17.4,44.9,Synthetic soil-carbon note for practice 0044 under wheat,low,2603.20674v1.pdf
PR-SYN-0045,Synthetic Mitigation Practice 0045,maize,20.9,36.6,11.1,27.4,Synthetic soil-carbon note for practice 0045 under maize,high,2603.20674v1.pdf
PR-SYN-0046,Synthetic Mitigation Practice 0046,multi-crop,32.6,46.2,14.4,42.5,Synthetic soil-carbon note for practice 0046 under multi-crop,medium,2603.20674v1.pdf
PR-SYN-0047,Synthetic Mitigation Practice 0047,soy,20.9,31.7,16.3,32.4,Synthetic soil-carbon note for practice 0047 under soy,low,2603.20674v1.pdf
PR-SYN-0048,Synthetic Mitigation Practice 0048,cotton,40.6,53.9,16.6,40.5,Synthetic soil-carbon note for practice 0048 under cotton,high,2603.20674v1.pdf
