authorship_id,paper_id,person_id,author_position,corresponding
AU-001,2603.20674v1.pdf,P-001,1,true
AU-002,2603.20674v1.pdf,P-002,2,false
AU-003,2603.20674v1.pdf,P-003,3,false
AU-004,2603.20674v1.pdf,P-005,7,false
AU-005,2603.20674v1.pdf,P-006,8,false
AU-006,2603.20674v1.pdf,P-007,12,false
AU-007,2603.20674v1.pdf,P-004,13,true
AU-008,2603.23825v1.pdf,P-008,1,yes
AU-009,2603.25874v1.pdf,P-009,1,true
AU-010,2603.25874v1.pdf,P-010,2,false
AU-011,2603.25874v1.pdf,P-011,3,false
AU-012,2006.02840v1.pdf,P-012,1,true
AU-013,2006.02840v1.pdf,P-017,6,false
