metric_id,metric_name,policy_event,geography,value_num,value_unit,sample_note,source_doc
TM-ICEBERG,Iceberg trade cost reduction from China WTO accession,China WTO accession,China,13.0,percent,Baseline estimate that WTO accession reduces iceberg trade cost by around 13 percent,2603.23825v1.pdf
TM-ICEBERG-ALT,Iceberg trade cost reduction robustness estimate,China WTO accession,China,13.5,percent,Alternate reported decrease of iceberg trade cost near 13.5 percent in robustness discussion,2603.23825v1.pdf
TM-CES-DOM,CES preference parameter domestic market,China WTO accession,China,4.0,elasticity,Estimated CES preference parameter for the domestic market,2603.23825v1.pdf
TM-CES-EXP,CES preference parameter export market,China WTO accession,China,2.5,elasticity,Estimated CES preference parameter for the export market,2603.23825v1.pdf
TM-EXIT,Firm exit probability in sample,China WTO accession,China,0.08,probability,Estimated firm exit probability reported for the empirical sample,2603.23825v1.pdf
TM-PROC-ROBUST,Processing-trade exclusion robustness,China WTO accession,China,1.0,flag,Robustness test excludes processing-trade firms; main cost-pattern result remains,2603.23825v1.pdf
TM-SYN-0001,Synthetic trade metric 0001 (elasticity),Regional trade agreement wave,India,1.0,elasticity,Synthetic sample note 0001 for Regional trade agreement wave in India,2603.23825v1.pdf
TM-SYN-0002,Synthetic trade metric 0002 (probability),Export rebate reform,Vietnam,0.097,probability,Synthetic sample note 0002 for Export rebate reform in Vietnam,2603.23825v1.pdf
TM-SYN-0003,Synthetic trade metric 0003 (flag),Tariff cut package,Mexico,0.0,flag,Synthetic sample note 0003 for Tariff cut package in Mexico,2603.23825v1.pdf
TM-SYN-0004,Synthetic trade metric 0004 (index),Customs facilitation program,Brazil,18.98,index,Synthetic sample note 0004 for Customs facilitation program in Brazil,2603.23825v1.pdf
TM-SYN-0005,Synthetic trade metric 0005 (percent),China WTO accession,Germany,5.08,percent,Synthetic sample note 0005 for China WTO accession in Germany,2603.23825v1.pdf
TM-SYN-0006,Synthetic trade metric 0006 (elasticity),Regional trade agreement wave,USA,0.93,elasticity,Synthetic sample note 0006 for Regional trade agreement wave in USA,2603.23825v1.pdf
TM-SYN-0007,Synthetic trade metric 0007 (probability),Export rebate reform,Japan,0.116,probability,Synthetic sample note 0007 for Export rebate reform in Japan,2603.23825v1.pdf
TM-SYN-0008,Synthetic trade metric 0008 (flag),Tariff cut package,China,1.0,flag,Synthetic sample note 0008 for Tariff cut package in China,2603.23825v1.pdf
TM-SYN-0009,Synthetic trade metric 0009 (index),Customs facilitation program,India,30.27,index,Synthetic sample note 0009 for Customs facilitation program in India,2603.23825v1.pdf
TM-SYN-0010,Synthetic trade metric 0010 (percent),China WTO accession,Vietnam,28.2,percent,Synthetic sample note 0010 for China WTO accession in Vietnam,2603.23825v1.pdf
TM-SYN-0011,Synthetic trade metric 0011 (elasticity),Regional trade agreement wave,Mexico,1.64,elasticity,Synthetic sample note 0011 for Regional trade agreement wave in Mexico,2603.23825v1.pdf
TM-SYN-0012,Synthetic trade metric 0012 (probability),Export rebate reform,Brazil,0.013,probability,Synthetic sample note 0012 for Export rebate reform in Brazil,2603.23825v1.pdf
TM-SYN-0013,Synthetic trade metric 0013 (flag),Tariff cut package,Germany,0.0,flag,Synthetic sample note 0013 for Tariff cut package in Germany,2603.23825v1.pdf
TM-SYN-0014,Synthetic trade metric 0014 (index),Customs facilitation program,USA,3.23,index,Synthetic sample note 0014 for Customs facilitation program in USA,2603.23825v1.pdf
TM-SYN-0015,Synthetic trade metric 0015 (percent),China WTO accession,Japan,18.05,percent,Synthetic sample note 0015 for China WTO accession in Japan,2603.23825v1.pdf
TM-SYN-0016,Synthetic trade metric 0016 (elasticity),Regional trade agreement wave,China,0.79,elasticity,Synthetic sample note 0016 for Regional trade agreement wave in China,2603.23825v1.pdf
